,Invoice,CustomerID,Country,Datetime,ItemCount,Quantity,Max_Price,Value
70,489606,17961.0,United Kingdom,2009-12-01 14:48:00,1,1,2.1,2.1
71,489611,15601.0,United Kingdom,2009-12-01 14:53:00,1,1,2.95,2.95
72,489613,13585.0,United Kingdom,2009-12-01 14:56:00,1,1,12.75,12.75
73,489617,13442.0,United Kingdom,2009-12-01 14:59:00,16,42,45.95,198.0
74,489634,13381.0,United Kingdom,2009-12-01 15:19:00,1,12,1.45,17.4
75,489635,16763.0,United Kingdom,2009-12-01 15:26:00,21,173,10.65,352.85
76,489637,17243.0,United Kingdom,2009-12-01 15:36:00,20,157,12.75,535.9
77,489639,14865.0,United Kingdom,2009-12-01 16:05:00,1,48,0.65,31.200000000000003
78,489640,17345.0,United Kingdom,2009-12-01 16:17:00,27,600,8.5,329.90999999999997
79,489641,13819.0,United Kingdom,2009-12-01 16:18:00,30,462,10.75,622.1
80,489644,15808.0,United Kingdom,2009-12-01 16:30:00,26,317,8.5,896.54
81,489645,17191.0,United Kingdom,2009-12-01 16:34:00,32,97,8.5,261.74
82,489650,13748.0,United Kingdom,2009-12-01 16:44:00,7,90,2.95,173.10000000000002
83,489652,15265.0,United Kingdom,2009-12-01 17:08:00,17,146,6.75,294.14
84,489654,15750.0,United Kingdom,2009-12-01 17:19:00,30,115,12.75,222.12000000000003
85,489656,17428.0,United Kingdom,2009-12-01 17:28:00,22,401,6.95,1237.3
86,489657,17428.0,United Kingdom,2009-12-01 17:28:00,3,32,3.75,55.2
87,489658,15485.0,United Kingdom,2009-12-01 17:31:00,21,249,8.5,828.0899999999999
88,489661,17246.0,United Kingdom,2009-12-01 17:45:00,4,34,2.95,23.48
89,489662,15485.0,United Kingdom,2009-12-01 17:50:00,1,25,2.95,73.75
90,489664,14061.0,United Kingdom,2009-12-01 18:03:00,11,57,19.95,374.43
91,489665,14108.0,United Kingdom,2009-12-01 18:07:00,10,118,4.95,252.3
92,489666,13648.0,United Kingdom,2009-12-01 18:13:00,15,203,4.25,263.09000000000003
93,489667,16563.0,United Kingdom,2009-12-01 18:35:00,10,221,3.75,538.46
94,489668,16701.0,United Kingdom,2009-12-01 19:19:00,8,198,8.5,378.11999999999995
95,489669,12842.0,United Kingdom,2009-12-02 08:15:00,3,168,2.95,397.20000000000005
96,489670,14302.0,United Kingdom,2009-12-02 08:16:00,2,28,7.95,114.60000000000001
97,489671,14135.0,United Kingdom,2009-12-02 08:58:00,8,966,3.45,740.3
98,489672,14831.0,United Kingdom,2009-12-02 09:21:00,32,421,10.95,772.6499999999999
99,489673,14831.0,United Kingdom,2009-12-02 09:23:00,4,34,3.95,61.099999999999994
100,489674,15602.0,United Kingdom,2009-12-02 09:35:00,17,266,6.75,261.3
101,489675,13777.0,United Kingdom,2009-12-02 09:47:00,22,1930,4.95,4939.219999999999
102,489676,13777.0,United Kingdom,2009-12-02 09:49:00,5,840,2.55,1210.8
103,489677,14000.0,United Kingdom,2009-12-02 09:50:00,2,48,4.25,192.0
104,489678,16823.0,United Kingdom,2009-12-02 09:57:00,20,113,12.75,189.29999999999998
105,489679,16163.0,United Kingdom,2009-12-02 10:00:00,42,280,19.95,795.9800000000001
106,489680,17193.0,United Kingdom,2009-12-02 10:02:00,1,36,1.25,45.0
107,489681,17998.0,United Kingdom,2009-12-02 10:02:00,11,183,7.95,89.58999999999999
108,489682,15759.0,United Kingdom,2009-12-02 10:08:00,4,303,5.95,125.72999999999999
109,489683,16131.0,United Kingdom,2009-12-02 10:09:00,46,721,15.95,1317.9700000000005
110,489684,14560.0,United Kingdom,2009-12-02 10:15:00,9,116,10.95,266.6
111,489687,17087.0,United Kingdom,2009-12-02 10:41:00,12,113,5.95,221.53
112,489688,14894.0,United Kingdom,2009-12-02 10:42:00,3,54,6.35,299.70000000000005
113,489695,16202.0,United Kingdom,2009-12-02 10:48:00,15,121,9.95,306.95
114,489699,16700.0,United Kingdom,2009-12-02 10:51:00,25,238,9.95,401.7
115,489702,17511.0,United Kingdom,2009-12-02 10:52:00,30,2020,10.95,3108.640000000001
116,489705,16700.0,United Kingdom,2009-12-02 10:52:00,1,4,4.25,17.0
117,489723,14299.0,United Kingdom,2009-12-02 10:58:00,26,1339,7.95,2052.12
118,489725,17949.0,United Kingdom,2009-12-02 11:07:00,1,300,0.72,216.0
119,489726,17949.0,United Kingdom,2009-12-02 11:07:00,1,200,3.75,750.0
120,489727,17949.0,United Kingdom,2009-12-02 11:09:00,1,450,2.0,900.0
121,489728,14799.0,United Kingdom,2009-12-02 11:18:00,10,349,6.75,180.45
122,489733,15311.0,United Kingdom,2009-12-02 11:20:00,2,48,4.25,168.0
123,489743,16550.0,United Kingdom,2009-12-02 11:24:00,33,320,7.95,538.7699999999999
124,489748,12980.0,United Kingdom,2009-12-02 11:26:00,3,84,34.95,754.2
125,489764,14425.0,United Kingdom,2009-12-02 11:31:00,14,82,5.95,223.09999999999997
126,489765,15353.0,United Kingdom,2009-12-02 11:33:00,41,91,10.95,285.5900000000001
127,489766,17818.0,United Kingdom,2009-12-02 11:34:00,46,90,4.95,130.17999999999998
128,489780,13654.0,United Kingdom,2009-12-02 11:43:00,8,90,2.95,159.98
129,489782,17189.0,United Kingdom,2009-12-02 11:45:00,22,148,2.95,230.46
130,489783,13269.0,United Kingdom,2009-12-02 11:47:00,7,152,1.95,162.04000000000002
131,489784,13269.0,United Kingdom,2009-12-02 11:48:00,4,48,0.85,40.8
132,489785,14653.0,United Kingdom,2009-12-02 11:51:00,20,250,12.75,333.67
133,489786,17019.0,United Kingdom,2009-12-02 11:52:00,44,199,4.25,216.86
134,489787,15542.0,United Kingdom,2009-12-02 11:53:00,74,127,14.95,319.5399999999999
135,489788,13564.0,United Kingdom,2009-12-02 11:55:00,17,38,6.75,119.16
136,489789,15833.0,United Kingdom,2009-12-02 11:59:00,5,24,5.95,80.4
137,489790,16467.0,United Kingdom,2009-12-02 11:59:00,2,88,1.69,131.12
138,489791,15542.0,United Kingdom,2009-12-02 12:06:00,65,90,12.75,221.18999999999988
139,489792,14527.0,United Kingdom,2009-12-02 12:06:00,58,165,45.95,923.7900000000003
140,489793,17476.0,United Kingdom,2009-12-02 12:09:00,16,124,12.75,260.36
141,489794,15287.0,United Kingdom,2009-12-02 12:13:00,4,55,2.95,58.2
142,489795,14440.0,United Kingdom,2009-12-02 12:13:00,13,287,7.95,935.0100000000002
143,489796,15680.0,United Kingdom,2009-12-02 12:15:00,19,268,2.95,311.5
144,489797,15581.0,United Kingdom,2009-12-02 12:19:00,26,142,12.75,200.63
145,489798,13740.0,United Kingdom,2009-12-02 12:22:00,20,97,8.5,311.69
146,489800,17768.0,United Kingdom,2009-12-02 12:26:00,32,532,12.75,408.06999999999994
147,489801,12948.0,United Kingdom,2009-12-02 12:28:00,6,144,3.45,128.48000000000002
148,489802,15581.0,United Kingdom,2009-12-02 12:32:00,45,156,14.95,174.52000000000004
149,489804,14667.0,United Kingdom,2009-12-02 12:38:00,16,185,4.95,251.17000000000002
150,489805,17377.0,United Kingdom,2009-12-02 12:39:00,46,227,12.75,454.35
151,489807,15581.0,United Kingdom,2009-12-02 12:43:00,28,241,9.95,180.12999999999997
152,489808,14467.0,United Kingdom,2009-12-02 12:44:00,17,82,2.95,109.84
153,489809,13457.0,United Kingdom,2009-12-02 12:46:00,6,68,2.1,112.5
154,489810,18108.0,United Kingdom,2009-12-02 12:47:00,26,165,9.95,493.2500000000001
155,489811,16210.0,United Kingdom,2009-12-02 12:54:00,9,515,6.95,634.29
156,489812,17377.0,United Kingdom,2009-12-02 13:00:00,25,85,12.75,597.6899999999999
157,489814,14669.0,United Kingdom,2009-12-02 13:06:00,89,506,10.95,824.1800000000004
158,489815,17909.0,United Kingdom,2009-12-02 13:10:00,9,41,12.75,132.55
159,489816,16086.0,United Kingdom,2009-12-02 13:20:00,27,258,9.95,284.54999999999995
160,489817,16711.0,United Kingdom,2009-12-02 13:22:00,3,132,7.65,340.2
161,489818,16233.0,United Kingdom,2009-12-02 13:23:00,14,102,10.95,294.3
162,489819,14739.0,United Kingdom,2009-12-02 13:23:00,13,465,5.95,618.43
163,489822,14204.0,United Kingdom,2009-12-02 13:26:00,54,103,12.75,371.27000000000004
164,489823,17606.0,United Kingdom,2009-12-02 13:32:00,6,42,2.95,87.30000000000001
165,489824,16797.0,United Kingdom,2009-12-02 13:33:00,44,127,8.5,176.87999999999997
166,489825,16126.0,United Kingdom,2009-12-02 13:34:00,10,94,12.75,174.1
167,489826,17867.0,United Kingdom,2009-12-02 13:39:00,10,17,45.95,85.95
168,489827,17412.0,United Kingdom,2009-12-02 13:51:00,23,382,4.25,445.7000000000001
169,489829,16525.0,United Kingdom,2009-12-02 13:53:00,8,237,14.95,472.46999999999997
170,489830,13623.0,United Kingdom,2009-12-02 13:57:00,69,242,12.75,637.0399999999998
171,489831,12435.0,Denmark,2009-12-02 13:58:00,1,480,2.1,1008.0
172,489832,14549.0,United Kingdom,2009-12-02 14:06:00,55,122,10.65,316.21999999999997
173,489833,14980.0,United Kingdom,2009-12-02 14:09:00,24,79,12.75,150.68
174,489834,14106.0,United Kingdom,2009-12-02 14:09:00,1,24,8.95,214.79999999999998
175,489835,15061.0,United Kingdom,2009-12-02 14:15:00,2,280,2.55,714.0
176,489837,14396.0,United Kingdom,2009-12-02 14:21:00,47,274,7.95,514.97
177,489840,14122.0,United Kingdom,2009-12-02 14:22:00,1,6,14.95,89.69999999999999
178,489855,16987.0,United Kingdom,2009-12-02 14:34:00,29,56,16.95,157.90999999999997
179,489862,17809.0,United Kingdom,2009-12-02 14:52:00,4,150,5.45,734.7
180,489863,15917.0,United Kingdom,2009-12-02 14:55:00,18,21,16.95,66.82000000000001
181,489864,14987.0,United Kingdom,2009-12-02 14:56:00,3,79,7.95,206.85
182,489865,14080.0,United Kingdom,2009-12-02 15:01:00,18,53,16.95,234.87
183,489866,16200.0,United Kingdom,2009-12-02 15:04:00,120,587,12.75,1003.8299999999997
184,489868,15794.0,United Kingdom,2009-12-02 15:10:00,14,248,7.95,675.0
185,489869,16200.0,United Kingdom,2009-12-02 15:15:00,17,27,3.75,39.98
186,489870,15523.0,United Kingdom,2009-12-02 15:16:00,3,118,1.95,162.1
187,489871,15523.0,United Kingdom,2009-12-02 15:17:00,5,274,8.95,735.7
188,489872,15615.0,United Kingdom,2009-12-02 15:28:00,22,320,8.5,632.9
189,489873,15615.0,United Kingdom,2009-12-02 15:29:00,1,12,0.85,10.2
190,489874,18001.0,United Kingdom,2009-12-02 15:38:00,12,144,6.75,176.6
191,489875,17841.0,United Kingdom,2009-12-02 15:41:00,95,219,14.95,530.76
192,489876,15917.0,United Kingdom,2009-12-02 15:44:00,18,22,4.95,39.85000000000001
193,489877,13089.0,United Kingdom,2009-12-02 15:44:00,4,162,5.45,368.1
194,489878,15989.0,United Kingdom,2009-12-02 15:51:00,38,56,9.95,143.11000000000004
195,489879,17660.0,United Kingdom,2009-12-02 16:02:00,44,138,7.95,163.46999999999997
196,489880,13313.0,United Kingdom,2009-12-02 16:18:00,22,552,9.95,380.27999999999986
197,489883,12437.0,France,2009-12-02 16:24:00,26,260,7.95,524.28
198,489884,13313.0,United Kingdom,2009-12-02 16:24:00,1,19,0.19,3.61
199,489888,14841.0,United Kingdom,2009-12-02 16:49:00,26,660,7.95,597.3999999999999
200,489889,14646.0,Netherlands,2009-12-02 16:52:00,20,3200,8.5,4734.24
201,489890,14646.0,Netherlands,2009-12-02 16:53:00,3,592,2.75,976.8
202,489891,15482.0,United Kingdom,2009-12-02 16:59:00,6,144,5.95,181.08
203,489893,16156.0,United Kingdom,2009-12-02 17:06:00,9,98,4.95,300.1
204,489894,17716.0,United Kingdom,2009-12-02 17:18:00,27,396,2.95,520.1999999999999
205,489895,12779.0,Poland,2009-12-03 07:25:00,22,266,5.95,371.82000000000005
206,489896,13611.0,United Kingdom,2009-12-03 07:57:00,20,227,4.95,337.93000000000006
207,489897,15255.0,United Kingdom,2009-12-03 09:10:00,13,176,6.75,260.44
208,489900,14771.0,United Kingdom,2009-12-03 09:44:00,19,253,1.95,287.37
209,489902,14838.0,United Kingdom,2009-12-03 09:52:00,4,18,6.95,119.10000000000001
210,489904,13979.0,United Kingdom,2009-12-03 10:02:00,13,150,9.95,203.77999999999997
211,489905,13800.0,United Kingdom,2009-12-03 10:03:00,19,242,9.95,478.69999999999993
212,489906,14483.0,United Kingdom,2009-12-03 10:16:00,4,96,1.25,120.0
213,489907,14915.0,United Kingdom,2009-12-03 10:17:00,11,104,7.95,202.06
214,489908,16301.0,United Kingdom,2009-12-03 10:20:00,6,41,4.95,107.33
215,489909,13753.0,United Kingdom,2009-12-03 10:20:00,16,428,5.95,642.2
216,489910,15482.0,United Kingdom,2009-12-03 10:23:00,1,288,0.5,144.0
217,489912,13931.0,United Kingdom,2009-12-03 10:26:00,58,578,9.95,1146.1000000000008
218,489913,13931.0,United Kingdom,2009-12-03 10:28:00,3,16,7.95,69.6
219,489914,12921.0,United Kingdom,2009-12-03 10:28:00,29,508,12.75,993.0000000000002
220,489915,17035.0,United Kingdom,2009-12-03 10:37:00,2,36,1.65,54.599999999999994
221,489916,15194.0,United Kingdom,2009-12-03 10:37:00,9,212,2.95,336.0
222,489932,14347.0,United Kingdom,2009-12-03 10:49:00,6,48,7.95,82.60000000000001
223,489935,12934.0,United Kingdom,2009-12-03 10:51:00,2,31,79.95,181.65
224,489994,15291.0,United Kingdom,2009-12-03 11:09:00,4,142,5.95,430.9
225,489996,17209.0,United Kingdom,2009-12-03 11:10:00,5,514,12.75,320.40000000000003
226,489998,15658.0,United Kingdom,2009-12-03 11:19:00,17,93,8.5,321.65000000000003
227,489999,17314.0,United Kingdom,2009-12-03 11:25:00,7,72,5.95,154.20000000000002
228,490000,17155.0,United Kingdom,2009-12-03 11:34:00,12,89,5.95,143.06
229,490001,15965.0,United Kingdom,2009-12-03 11:45:00,2,94,2.55,169.5
230,490002,17322.0,United Kingdom,2009-12-03 11:46:00,28,115,2.55,114.55000000000001
231,490003,16159.0,United Kingdom,2009-12-03 11:51:00,12,163,6.75,317.54999999999995
232,490004,14051.0,United Kingdom,2009-12-03 11:53:00,9,224,5.95,912.56
233,490005,13993.0,United Kingdom,2009-12-03 11:57:00,25,203,12.75,556.75
234,490006,17411.0,United Kingdom,2009-12-03 12:02:00,19,150,6.75,344.4
235,490008,15768.0,United Kingdom,2009-12-03 12:10:00,64,257,18.95,503.93000000000006
236,490009,12835.0,United Kingdom,2009-12-03 12:13:00,31,100,10.75,285.09000000000003
237,490010,15061.0,United Kingdom,2009-12-03 12:15:00,1,480,2.1,1008.0
238,490011,16918.0,United Kingdom,2009-12-03 12:27:00,43,138,8.5,221.69000000000003
239,490012,15179.0,United Kingdom,2009-12-03 12:27:00,27,339,18.95,763.3499999999999
240,490013,17069.0,United Kingdom,2009-12-03 12:27:00,33,395,4.95,500.5500000000001
241,490014,15466.0,United Kingdom,2009-12-03 12:28:00,93,407,10.95,744.2099999999999
242,490017,14159.0,United Kingdom,2009-12-03 12:31:00,99,267,10.75,393.6499999999999
243,490018,17940.0,United Kingdom,2009-12-03 12:31:00,4,17520,0.25,4380.0
244,490019,17581.0,United Kingdom,2009-12-03 12:34:00,15,116,10.65,308.6
245,490020,17581.0,United Kingdom,2009-12-03 12:36:00,3,14,3.75,37.8
246,490021,17581.0,United Kingdom,2009-12-03 12:36:00,1,12,0.85,10.2
247,490022,17581.0,United Kingdom,2009-12-03 12:37:00,3,24,2.95,45.60000000000001
248,490023,16168.0,United Kingdom,2009-12-03 12:38:00,4,49,79.95,189.15
249,490024,14606.0,United Kingdom,2009-12-03 12:40:00,49,121,8.95,214.99999999999997
250,490034,17287.0,United Kingdom,2009-12-03 12:45:00,11,30,12.75,69.82
251,490045,17287.0,United Kingdom,2009-12-03 12:50:00,22,109,7.95,180.39000000000001
252,490046,13416.0,United Kingdom,2009-12-03 13:02:00,7,66,3.95,228.3
253,490047,17913.0,United Kingdom,2009-12-03 13:02:00,28,131,4.95,263.84999999999997
254,490048,16779.0,United Kingdom,2009-12-03 13:03:00,35,681,4.95,1146.71
255,490049,15794.0,United Kingdom,2009-12-03 13:04:00,1,40,2.55,102.0
256,490050,17913.0,United Kingdom,2009-12-03 13:05:00,1,2,6.75,13.5
257,490052,13895.0,United Kingdom,2009-12-03 13:09:00,42,408,29.95,831.0000000000002
258,490053,14057.0,United Kingdom,2009-12-03 13:17:00,17,101,7.95,119.54
259,490054,17017.0,United Kingdom,2009-12-03 13:22:00,7,186,9.95,277.5
260,490056,13208.0,United Kingdom,2009-12-03 13:25:00,16,56,6.75,61.120000000000005
261,490057,17465.0,United Kingdom,2009-12-03 13:25:00,20,184,7.95,360.5200000000001
262,490058,17465.0,United Kingdom,2009-12-03 13:26:00,2,27,5.95,47.85
263,490059,18102.0,United Kingdom,2009-12-03 13:30:00,9,4825,3.0,14475.0
264,490060,13468.0,United Kingdom,2009-12-03 13:32:00,17,148,12.75,314.21999999999997
265,490061,18102.0,United Kingdom,2009-12-03 13:42:00,4,2000,2.0,4000.0
266,490062,13485.0,United Kingdom,2009-12-03 13:46:00,8,86,5.95,165.3
267,490063,17271.0,United Kingdom,2009-12-03 13:49:00,52,117,11.95,210.38999999999996
268,490064,16139.0,United Kingdom,2009-12-03 13:51:00,19,215,9.95,355.59000000000003
269,490065,15061.0,United Kingdom,2009-12-03 13:58:00,1,600,2.1,1260.0
270,490066,15953.0,United Kingdom,2009-12-03 14:00:00,7,212,2.95,372.2
271,490067,15856.0,United Kingdom,2009-12-03 14:02:00,24,412,8.5,952.61
272,490068,13085.0,United Kingdom,2009-12-03 14:06:00,9,90,5.95,284.3
273,490069,13085.0,United Kingdom,2009-12-03 14:07:00,5,60,6.75,161.39999999999998
274,490070,14967.0,United Kingdom,2009-12-03 14:07:00,5,68,4.25,236.25
275,490071,16497.0,United Kingdom,2009-12-03 14:11:00,19,111,19.95,294.85
276,490072,17764.0,United Kingdom,2009-12-03 14:28:00,30,71,6.75,194.64999999999998
277,490073,14905.0,United Kingdom,2009-12-03 14:36:00,13,172,3.75,258.09999999999997
278,490075,18229.0,United Kingdom,2009-12-03 14:42:00,4,84,4.65,381.0
279,490077,17293.0,United Kingdom,2009-12-03 15:09:00,6,65,1.95,115.50999999999999
280,490078,17853.0,United Kingdom,2009-12-03 15:09:00,29,159,12.75,584.3499999999999
281,490079,15550.0,United Kingdom,2009-12-03 15:15:00,10,85,2.55,160.35
282,490080,13531.0,United Kingdom,2009-12-03 15:20:00,15,126,7.95,311.70000000000005
283,490081,13786.0,United Kingdom,2009-12-03 15:32:00,20,323,12.75,723.09
284,490082,14952.0,United Kingdom,2009-12-03 15:34:00,7,262,1.65,337.9
285,490083,14031.0,United Kingdom,2009-12-03 15:35:00,61,1132,12.75,2506.140000000001
286,490085,12937.0,United Kingdom,2009-12-03 15:43:00,15,108,7.95,170.06
287,490086,17949.0,United Kingdom,2009-12-03 15:48:00,1,432,1.85,799.2
288,490087,15601.0,United Kingdom,2009-12-03 15:49:00,51,668,8.95,898.1800000000001
289,490088,15581.0,United Kingdom,2009-12-03 15:50:00,2,2,12.75,17.0
290,490089,17949.0,United Kingdom,2009-12-03 15:52:00,1,252,1.85,466.20000000000005
291,490090,15581.0,United Kingdom,2009-12-03 15:53:00,17,25,3.95,45.550000000000004
292,490091,17949.0,United Kingdom,2009-12-03 15:54:00,1,600,1.06,636.0
293,490092,16612.0,United Kingdom,2009-12-03 15:54:00,23,297,8.5,510.86999999999995
294,490093,12949.0,United Kingdom,2009-12-03 15:56:00,64,896,9.95,1794.7000000000005
295,490094,17949.0,United Kingdom,2009-12-03 15:56:00,1,504,1.69,851.76
296,490095,14958.0,United Kingdom,2009-12-03 16:02:00,12,54,9.95,186.36
297,490097,17329.0,United Kingdom,2009-12-03 16:09:00,36,146,6.75,279.42
298,490099,16736.0,United Kingdom,2009-12-03 16:12:00,74,526,16.95,1225.9799999999998
299,490100,13001.0,United Kingdom,2009-12-03 16:21:00,83,403,8.5,869.9300000000001
300,490101,14644.0,United Kingdom,2009-12-03 16:24:00,11,150,9.95,338.50000000000006
301,490106,14898.0,United Kingdom,2009-12-03 16:40:00,20,275,9.95,314.37
302,490107,14662.0,United Kingdom,2009-12-03 16:47:00,8,30,8.5,110.7
303,490108,17414.0,United Kingdom,2009-12-03 16:49:00,5,444,0.72,239.68
304,490109,14755.0,United Kingdom,2009-12-03 16:51:00,20,204,16.95,415.00000000000006
305,490110,14755.0,United Kingdom,2009-12-03 16:52:00,2,13,19.95,30.15
306,490111,17576.0,United Kingdom,2009-12-03 16:54:00,31,221,6.75,321.21
307,490112,13037.0,United Kingdom,2009-12-03 17:04:00,20,161,8.5,313.19
308,490113,14710.0,United Kingdom,2009-12-03 17:12:00,11,16,6.75,39.2
309,490114,18168.0,United Kingdom,2009-12-03 17:29:00,22,160,8.95,257.62
310,490115,17679.0,United Kingdom,2009-12-03 17:32:00,12,316,3.75,342.6000000000001
311,490116,17679.0,United Kingdom,2009-12-03 17:33:00,4,48,2.55,122.39999999999999
312,490118,17851.0,United Kingdom,2009-12-03 17:46:00,47,151,7.95,317.03999999999996
313,490119,12931.0,United Kingdom,2009-12-03 17:48:00,1,75,1.45,108.75
314,490121,14750.0,United Kingdom,2009-12-03 17:57:00,32,65,9.95,112.03000000000002
315,490124,16791.0,United Kingdom,2009-12-03 18:08:00,44,107,14.95,319.86999999999995
316,490125,16558.0,United Kingdom,2009-12-03 18:11:00,9,109,8.5,297.05
317,490127,14156.0,EIRE,2009-12-03 18:13:00,32,202,10.75,519.18
